"You have %points_balance points that may be used in our store:","Você tem %points_balance pontos que podem ser usados ​​em nossa loja:"
"<a href="%unsubscription_url">Unsubscribe</a> from these notifications.","<a href="%unsubscription_url"> Cancelar assinatura </a> dessas notificações."
"Reward Points Expiry Warning at %store_name","Aviso de Expiração de Pontos de Recompensa em% store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","Existem %restantes_ dias restantes para usar %points_expiring dos seus pontos de recompensa."
"After %remaining_days day(s) these points will expire.","Depois de %remaining_days dia (s), esses pontos expirarão."
"You have a total of %points_balance points that may be used in our store:","Você tem um total de %points_balance points que podem ser usados ​​em nossa loja:"
"Reward points","Pontos de recompensa"
"Use reward points","Use pontos de recompensa"
"Your reward point was successfully applied","Seu ponto de recompensa foi aplicado com sucesso"
"Manage Reward Points Balances","Gerenciar saldos de pontos de recompensa"
"Can Spend Reward Points","Pode gastar pontos de recompensa"
"Enable Reward Points Functionality","Ativar a funcionalidade de pontos de recompensa"
"Enable Reward Points Functionality on Storefront","Ative a funcionalidade de pontos de recompensa na vitrine"
"Customers May See Reward Points History","Clientes podem ver o histórico de pontos de recompensa"
"Rewards Points Balance Redemption Threshold","Limite de Resgate de Saldo de Pontos de Recompensa"
"An empty value disables this limitation.","Um valor vazio desativa essa limitação."
"Cap Reward Points Balance At","Cap balança de pontos de recompensa em"
"Reward Points Expire in (days)","Pontos de recompensa expiram em (dias)"
"Reward Points Expiry Calculation","Cálculo da Expiração dos Pontos de Recompensa"
""Static" defines the expiration date as precisely when the balance increases. "Dynamic" does not have an expiration date, but calculates one when the balance is checked for expiry.","Estático define a data de vencimento como precisamente quando o saldo aumenta. "Dinâmico" não tem uma data de expiração, mas calcula um quando o saldo é verificado por expiração."
"Refund Reward Points Automatically","Reembolsar pontos de recompensa automaticamente"
"Deduct Reward Points from Refund Amount Automatically","Deduzir pontos de recompensa automaticamente do montante do reembolso"
"Landing Page","Landing Page"
"Actions for Acquiring Reward Points by Customers","Ações para adquirir pontos de recompensa pelos clientes"
"Purchase","Compra"
"Added for spent money according to reward exchange rates.","Adicionado para dinheiro gasto de acordo com as taxas de câmbio de recompensa."
"Registration","Cadastro"
"Newsletter Signup","Inscrição no boletim informativo"
"Only for customers who subscribe for the first time.","Apenas para clientes que se inscrevem pela primeira vez."
"Converting Invitation to Customer","Convertendo Convite para o Cliente"
"Invitation to Customer Conversions Quantity Limit","Convite para o limite de quantidade de conversões do cliente"
"Converting Invitation to Order","Convertendo Convite em Pedido"
"Invitation to Order Conversions Quantity Limit","Convite para encomendar limite de quantidade de conversões"
"Invitation Conversion to Order Reward","Conversão de Convite para Solicitar Recompensa"
"Review Submission","Revisar a submissão"
"After approval by administrator.","Após aprovação pelo administrador."
"Rewarded Reviews Submission Quantity Limit","Limite de quantidade de envio de resenhas recompensadas"
"Email Sender","Remetente de e-mail"
"Subscribe Customers by Default","Inscrever clientes por padrão"
"Balance Update Email","E-mail de atualização de saldo"
"Reward Points Expiry Warning Email","E-mail de aviso de expiração de pontos de recompensa"
"Expiry Warning Before (days)","Aviso de expiração antes (dias)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Não inserir nenhum valor ou um valor maior que o tempo de expiração desativa a notificação de aviso."
"Reward Points Rates","Taxas de pontos de recompensa"
"Amount Balance","Saldo de Montante"
"Created","Criado"
"Expires","Expira"
"ID","identidade"
"Add Reward Points","Adicionar pontos de recompensa"
"Check out now and earn %1 for this order.","Confira agora e ganhe %1 para este pedido."
"Create an account on our site now and earn %1.","Crie uma conta no nosso site agora e ganhe %1."
"Subscribe to our newsletter now and earn %1.","Assine nossa newsletter agora e ganhe %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Envie este convite agora e ganhe %s quando seu convidado se inscrever em nosso site."
"You can reward up to %s invitee registration(s).","Você pode recompensar até %s registro (s) de convidados."
"Earn %s for purchases your invitees make.","Ganhe %s para compras que seus convidados fazem."
"You can reward up to %s invitee purchase(s).","Você pode recompensar até %s compras de convidados."
"Submit a review now and earn %1 after the review is approved.","Envie um comentário agora e ganhe %1 após a revisão ser aprovada."
"You can reward up to %1 new reviews(s).","Você pode recompensar até %1 nova(s) avaliação(ões)."
